Source,Mission,Planet,Launch,Year,EFPA (deg),Speed (km/s),Trim L/D,Control method,beta (kg/m2),Peak deceleration (g),Shape,Nose radius (m),Base area (m2),Base diameter (m),Entry mass (kg),Payload mass (kg),TPS mass fraction,Peak convective heating (W/cm2),Peak radiative heating (W/cm2),Peak heating stagnation pressure (atm),Integrated heat load (kJ/cm2),Peak stagnation heat rate (W/cm2),Forebody TPS material,Forebody TPS thickness (cm),Forebody TPS mass (kg),Aftbody TPS material,Aftbody TPS thickness (cm),Aftbody TPS mass (kg),Country,Successful,Status
NASA Ames Blue Book,Galileo,Jupiter,1989,1995,-8.41,47.41,0,Ballistic,267,228,45 deg. sphere-cone,0.22,1.26,1.26,339,NA,49.4,0,38055,7.55,210,38055,Carbon-phenolic,14.6,NA,NA,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,OREX,Earth,1994,1994,-3.17,7.43,0,Ballistic,56,NA,50 deg. sphere-cone,1.35,9.08,3.4,761,NA,NA,51,0,0.078,NA,51,C-C,4,NA,NA,NA,NA,Japan,Yes,Flown
NASA Ames Blue Book,Mars Pathfinder,Mars,1996,1997,-14.06,7.48,0,Ballistic,61.5,16,70 deg. sphere-cone,0.66,5.51,2.4,585.3,NA,8.2,100.69,5.27,0.19,3.834,105.96,SLA-561V,1.9,NA,SLA-561S,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Huygens,Titan,1997,2005,-65.4,6,0,Ballistic,35,12,60 deg. sphere-cone,1.25,5.73,2.7,320,NA,13.8,29.3,0,0.1,1.397,29.3,AQ60/I,1.74,NA,Prosial,0.31,NA,ESA,Yes,Flown
NASA Ames Blue Book,ARD,Earth,1998,1998,-2.6,7.45,NA,Roll modulation,347,11,"Capsule, 33 deg. cone",3.36,6.15,2.8,2715,NA,23,120,0,0.22,24,120,Aleastrasil,5,NA,Norcoat,1.9,NA,ESA,Yes,Flown
NASA Ames Blue Book,Deep Space 2,Mars,1999,1999,-13.25,6.9,0,Ballistic,36.2,12.4,45 deg. sphere-cone,0.0875,0.096,0.35,3.67,NA,NA,194,0,NA,8.712,194,SIRCA-SPLIT,1,NA,FRC!,NA,NA,ESA,No,Flown
NASA Ames Blue Book,Stardust,Earth,1999,2006,-8.23,12.45,0,Ballistic,60,32.89,60 deg. sphere-cone,0.23,0.5,0.827,45.8,NA,22,817,71,0.22,26.2,880,PICA,5.82,NA,SLA-561V,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Genesis,Earth,2001,2004,-8,10.8,0,Ballistic,80,25.7,60 deg. sphere-cone,0.43,1.78,1.51,210,NA,18,670,30,NA,16.6,700,C-C,3.8,NA,SLA-561V,NA,NA,USA,Yes,Flown
NASA Ames Blue Book,Hayabusa,Earth,2003,2007,-12.79,11.65,0,Ballistic,133,53.36,45 deg. sphere-cone,0.202,0.128,0.404,18,NA,43,1050,264,0.63,23.051,1314,Carbon-phenolic,3,NA,Carbon-phenolic,2,NA,Japan,Yes,Flown
NASA Ames Blue Book,Beagle 2,Mars,2003,2003,-15.8,5.4,0,Ballistic,70,NA,60 deg. sphere-cone,0.417,0.67,0.924,68.46,NA,24,72,0.17,0.18,2.449,72.28,Norcoat,0.8,NA,NA,NA,NA,ESA,No,Flown
