Hgt_km	Lat	LonW	Temp_K	 Pres_Pa	Dens_kgm3	Uwind	Vwind
1.938	-10.3	195.5	91.17	1.33E+05	4.97E+00	-0.83	0
1.960	-10.3	195.5	91.16	1.33E+05	4.97E+00	-0.93	0
1.982	-10.3	195.5	91.14	1.33E+05	4.96E+00	-0.87	0
2.004	-10.3	195.5	91.11	1.33E+05	4.96E+00	-0.92	0
2.026	-10.3	195.5	91.08	1.33E+05	4.95E+00	-1.02	0
2.048	-10.3	195.5	91.06	1.33E+05	4.95E+00	-0.91	0
2.070	-10.3	195.5	91.03	1.32E+05	4.95E+00	-0.76	0
2.092	-10.3	195.5	91	1.32E+05	4.94E+00	-0.63	0
2.114	-10.3	195.5	90.98	1.32E+05	4.94E+00	-0.47	0
2.136	-10.3	195.5	90.95	1.32E+05	4.93E+00	-1.07	0
2.158	-10.3	195.5	90.93	1.32E+05	4.93E+00	-0.92	0
2.180	-10.3	195.5	90.9	1.32E+05	4.92E+00	-1.31	0
2.202	-10.3	195.5	90.89	1.32E+05	4.92E+00	-1.1	0
2.251	-10.3	195.5	90.83	1.31E+05	4.91E+00	-1.2	0
2.273	-10.3	195.5	90.81	1.31E+05	4.91E+00	-1.24	0
2.296	-10.3	195.5	90.78	1.31E+05	4.90E+00	-1.28	0
2.318	-10.3	195.5	90.76	1.31E+05	4.90E+00	-1.31	0
2.340	-10.3	195.5	90.74	1.31E+05	4.89E+00	-1.35	0
2.362	-10.3	195.5	90.71	1.31E+05	4.89E+00	-1.38	0
2.385	-10.3	195.5	90.69	1.30E+05	4.88E+00	-1.42	0
2.407	-10.3	195.5	90.67	1.30E+05	4.88E+00	-1.46	0
2.429	-10.3	195.5	90.64	1.30E+05	4.88E+00	-1.49	0
2.451	-10.3	195.5	90.62	1.30E+05	4.87E+00	-1.53	0
2.474	-10.3	195.5	90.59	1.30E+05	4.87E+00	-1.57	0
2.496	-10.3	195.5	90.57	1.30E+05	4.86E+00	-1.6	0
2.518	-10.3	195.5	90.54	1.30E+05	4.86E+00	-1.64	0
2.541	-10.3	195.5	90.52	1.29E+05	4.86E+00	-1.67	0
2.563	-10.3	195.5	90.48	1.29E+05	4.85E+00	-1.71	0
2.585	-10.3	195.5	90.46	1.29E+05	4.85E+00	-1.68	0
2.608	-10.3	195.5	90.45	1.29E+05	4.84E+00	-1.57	0
2.630	-10.3	195.5	90.43	1.29E+05	4.84E+00	-1.92	0
2.652	-10.3	195.5	90.41	1.29E+05	4.83E+00	-1.95	0
2.675	-10.3	195.5	90.39	1.28E+05	4.83E+00	-1.81	0
2.697	-10.3	195.5	90.36	1.28E+05	4.82E+00	-1.98	0
2.719	-10.3	195.5	90.32	1.28E+05	4.82E+00	-2.03	0
2.742	-10.3	195.5	90.31	1.28E+05	4.82E+00	-1.99	0
2.764	-10.3	195.5	90.28	1.28E+05	4.81E+00	-2.23	0
2.787	-10.3	195.5	90.27	1.28E+05	4.81E+00	-2.09	0
2.809	-10.3	195.5	90.25	1.28E+05	4.80E+00	-2.09	0
2.831	-10.3	195.5	90.23	1.27E+05	4.80E+00	-2.14	0
2.879	-10.3	195.5	90.19	1.27E+05	4.79E+00	-2.16	0
2.902	-10.3	195.5	90.17	1.27E+05	4.78E+00	-2.29	0
2.924	-10.3	195.5	90.15	1.27E+05	4.78E+00	-2.28	0
2.947	-10.3	195.5	90.13	1.27E+05	4.78E+00	-2.13	0
2.969	-10.3	195.5	90.1	1.27E+05	4.77E+00	-1.83	0
2.992	-10.3	195.5	90.08	1.26E+05	4.77E+00	-1.87	0
3.014	-10.3	195.5	90.06	1.26E+05	4.76E+00	-1.72	0
3.037	-10.3	195.5	90.04	1.26E+05	4.76E+00	-1.79	0
3.059	-10.3	195.5	90.02	1.26E+05	4.75E+00	-1.72	0
3.082	-10.3	195.5	90.01	1.26E+05	4.75E+00	-1.65	0
3.104	-10.3	195.5	89.98	1.26E+05	4.74E+00	-1.59	0
3.127	-10.3	195.5	89.97	1.26E+05	4.74E+00	-1.52	0
3.150	-10.3	195.5	89.95	1.25E+05	4.73E+00	-1.46	0
3.172	-10.3	195.5	89.94	1.25E+05	4.73E+00	-1.39	0
3.195	-10.3	195.5	89.93	1.25E+05	4.72E+00	-1.32	0
3.217	-10.3	195.5	89.91	1.25E+05	4.72E+00	-1.26	0
3.240	-10.3	195.5	89.9	1.25E+05	4.72E+00	-1.19	0
3.263	-10.3	195.5	89.87	1.25E+05	4.71E+00	-1.12	0
3.311	-10.3	195.5	89.83	1.24E+05	4.70E+00	-0.98	0
3.334	-10.3	195.5	89.8	1.24E+05	4.70E+00	-0.91	0
3.356	-10.3	195.5	89.77	1.24E+05	4.69E+00	-0.85	0
3.379	-10.3	195.5	89.74	1.24E+05	4.69E+00	-0.78	0
3.402	-10.3	195.5	89.72	1.24E+05	4.69E+00	-0.71	0
3.424	-10.3	195.5	89.7	1.24E+05	4.68E+00	-0.65	0
3.447	-10.3	195.5	89.66	1.24E+05	4.68E+00	-0.58	0
3.470	-10.3	195.5	89.66	1.23E+05	4.67E+00	-0.51	0
3.493	-10.3	195.5	89.63	1.23E+05	4.67E+00	-0.73	0
3.515	-10.3	195.5	89.61	1.23E+05	4.66E+00	-0.63	0
3.538	-10.3	195.5	89.58	1.23E+05	4.66E+00	-0.82	0
3.561	-10.3	195.5	89.56	1.23E+05	4.65E+00	-0.58	0
3.584	-10.3	195.5	89.54	1.23E+05	4.65E+00	-0.56	0
3.607	-10.3	195.5	89.52	1.23E+05	4.65E+00	-0.5	0
3.630	-10.3	195.5	89.49	1.22E+05	4.64E+00	-0.65	0
3.653	-10.3	195.5	89.47	1.22E+05	4.64E+00	-0.46	0
3.675	-10.3	195.5	89.44	1.22E+05	4.63E+00	-0.37	0
3.698	-10.3	195.5	89.41	1.22E+05	4.63E+00	-0.52	0
3.721	-10.3	195.5	89.39	1.22E+05	4.62E+00	-0.02	0
3.744	-10.3	195.5	89.36	1.22E+05	4.62E+00	-0.37	0
3.767	-10.3	195.5	89.35	1.22E+05	4.62E+00	-0.36	0
3.790	-10.3	195.5	89.32	1.21E+05	4.61E+00	-0.27	0
3.813	-10.3	195.5	89.3	1.21E+05	4.61E+00	-0.21	0
