Hgt_km	Lat	LonW	Temp_K	 Pres_Pa	Dens_kgm3	Uwind	Vwind
8.909	-10.3	195.5	84.73	9.28E+04	3.70E+00	0.97	0
8.963	-10.3	195.5	84.69	9.26E+04	3.69E+00	0.99	0
8.988	-10.3	195.5	84.66	9.24E+04	3.69E+00	1	0
9.014	-10.3	195.5	84.65	9.23E+04	3.68E+00	1.01	0
9.039	-10.3	195.5	84.63	9.22E+04	3.68E+00	1.01	0
9.064	-10.3	195.5	84.6	9.21E+04	3.68E+00	1.02	0
9.089	-10.3	195.5	84.58	9.19E+04	3.67E+00	1.03	0
9.114	-10.3	195.5	84.56	9.18E+04	3.67E+00	1.04	0
9.140	-10.3	195.5	84.54	9.17E+04	3.66E+00	1.05	0
9.165	-10.3	195.5	84.52	9.16E+04	3.66E+00	1.06	0
9.190	-10.3	195.5	84.51	9.14E+04	3.66E+00	1.07	0
9.215	-10.3	195.5	84.48	9.13E+04	3.65E+00	1.07	0
9.241	-10.3	195.5	84.44	9.12E+04	3.65E+00	1.08	0
9.266	-10.3	195.5	84.42	9.11E+04	3.65E+00	1.09	0
9.291	-10.3	195.5	84.4	9.09E+04	3.64E+00	1.1	0
9.317	-10.3	195.5	84.37	9.08E+04	3.64E+00	1.11	0
9.342	-10.3	195.5	84.34	9.07E+04	3.63E+00	1.12	0
9.367	-10.3	195.5	84.32	9.06E+04	3.63E+00	1.12	0
9.393	-10.3	195.5	84.31	9.05E+04	3.62E+00	1.13	0
9.418	-10.3	195.5	84.31	9.03E+04	3.62E+00	1.14	0
9.443	-10.3	195.5	84.29	9.02E+04	3.61E+00	1.15	0
9.469	-10.3	195.5	84.31	9.01E+04	3.61E+00	1.16	0
9.494	-10.3	195.5	84.29	9.00E+04	3.60E+00	1.17	0
9.520	-10.3	195.5	84.3	8.98E+04	3.60E+00	1.17	0
9.545	-10.3	195.5	84.29	8.97E+04	3.60E+00	1.18	0
9.571	-10.3	195.5	84.25	8.96E+04	3.59E+00	1.19	0
9.596	-10.3	195.5	84.21	8.95E+04	3.59E+00	1.2	0
9.622	-10.3	195.5	84.17	8.93E+04	3.59E+00	1.21	0
9.676	-10.3	195.5	84.16	8.91E+04	3.58E+00	1.23	0
9.702	-10.3	195.5	84.14	8.89E+04	3.57E+00	1.24	0
9.727	-10.3	195.5	84.1	8.88E+04	3.57E+00	1.24	0
9.753	-10.3	195.5	84.1	8.87E+04	3.56E+00	1.25	0
9.778	-10.3	195.5	84.1	8.86E+04	3.56E+00	1.26	0
9.804	-10.3	195.5	84.09	8.84E+04	3.56E+00	1.27	0
9.829	-10.3	195.5	84.07	8.83E+04	3.55E+00	1.28	0
9.855	-10.3	195.5	84.04	8.82E+04	3.55E+00	1.29	0
9.881	-10.3	195.5	84.02	8.81E+04	3.54E+00	1.3	0
9.906	-10.3	195.5	84.01	8.80E+04	3.54E+00	1.3	0
9.932	-10.3	195.5	83.99	8.78E+04	3.54E+00	1.31	0
9.958	-10.3	195.5	83.96	8.77E+04	3.53E+00	1.32	0
9.984	-10.3	195.5	83.94	8.76E+04	3.53E+00	1.33	0
10.009	-10.3	195.5	83.92	8.75E+04	3.52E+00	1.34	0
10.035	-10.3	195.5	83.9	8.73E+04	3.52E+00	1.35	0
10.061	-10.3	195.5	83.87	8.72E+04	3.52E+00	1.36	0
10.087	-10.3	195.5	83.85	8.71E+04	3.51E+00	1.37	0
10.113	-10.3	195.5	83.83	8.70E+04	3.51E+00	1.37	0
10.168	-10.3	195.5	83.77	8.67E+04	3.50E+00	1.39	0
10.194	-10.3	195.5	83.74	8.66E+04	3.50E+00	1.4	0
10.220	-10.3	195.5	83.72	8.65E+04	3.49E+00	1.41	0
10.246	-10.3	195.5	83.71	8.63E+04	3.49E+00	1.42	0
10.272	-10.3	195.5	83.71	8.62E+04	3.48E+00	1.43	0
10.297	-10.3	195.5	83.7	8.61E+04	3.48E+00	1.43	0
10.323	-10.3	195.5	83.67	8.60E+04	3.48E+00	1.44	0
10.349	-10.3	195.5	83.63	8.59E+04	3.47E+00	1.45	0
10.375	-10.3	195.5	83.63	8.57E+04	3.47E+00	1.46	0
10.401	-10.3	195.5	83.59	8.56E+04	3.46E+00	1.47	0
10.427	-10.3	195.5	83.59	8.55E+04	3.46E+00	1.48	0
10.453	-10.3	195.5	83.58	8.54E+04	3.46E+00	1.49	0
10.479	-10.3	195.5	83.54	8.53E+04	3.45E+00	1.5	0
10.505	-10.3	195.5	83.51	8.51E+04	3.45E+00	1.5	0
10.532	-10.3	195.5	83.49	8.50E+04	3.44E+00	1.51	0
10.558	-10.3	195.5	83.5	8.49E+04	3.44E+00	1.52	0
10.584	-10.3	195.5	83.51	8.48E+04	3.43E+00	1.53	0
10.610	-10.3	195.5	83.49	8.47E+04	3.43E+00	1.54	0
10.636	-10.3	195.5	83.45	8.45E+04	3.43E+00	1.55	0
10.662	-10.3	195.5	83.43	8.44E+04	3.42E+00	1.56	0
10.688	-10.3	195.5	83.42	8.43E+04	3.42E+00	1.57	0
10.714	-10.3	195.5	83.38	8.42E+04	3.41E+00	1.57	0
10.740	-10.3	195.5	83.39	8.41E+04	3.41E+00	1.58	0
10.766	-10.3	195.5	83.38	8.39E+04	3.40E+00	1.59	0
10.792	-10.3	195.5	83.36	8.38E+04	3.40E+00	1.6	0
10.818	-10.3	195.5	83.35	8.37E+04	3.40E+00	1.61	0
10.845	-10.3	195.5	83.34	8.36E+04	3.39E+00	1.62	0
10.901	-10.3	195.5	83.26	8.33E+04	3.39E+00	1.64	0
10.927	-10.3	195.5	83.23	8.32E+04	3.38E+00	1.65	0
10.953	-10.3	195.5	83.22	8.31E+04	3.38E+00	1.65	0
10.979	-10.3	195.5	83.2	8.30E+04	3.37E+00	1.66	0
11.005	-10.3	195.5	83.19	8.29E+04	3.37E+00	1.67	0
11.031	-10.3	195.5	83.18	8.27E+04	3.37E+00	1.68	0
11.058	-10.3	195.5	83.13	8.26E+04	3.36E+00	1.69	0
11.084	-10.3	195.5	83.11	8.25E+04	3.36E+00	1.7	0
11.110	-10.3	195.5	83.07	8.24E+04	3.36E+00	1.71	0
11.136	-10.3	195.5	83.05	8.23E+04	3.35E+00	1.72	0
11.163	-10.3	195.5	83.03	8.21E+04	3.35E+00	1.72	0
11.190	-10.3	195.5	83.01	8.20E+04	3.34E+00	1.73	0
11.216	-10.3	195.5	82.99	8.19E+04	3.34E+00	1.74	0
11.243	-10.3	195.5	82.98	8.18E+04	3.34E+00	1.75	0
11.269	-10.3	195.5	82.95	8.17E+04	3.33E+00	1.76	0
11.296	-10.3	195.5	82.92	8.16E+04	3.33E+00	1.77	0
11.323	-10.3	195.5	82.9	8.14E+04	3.32E+00	1.78	0
11.349	-10.3	195.5	82.87	8.13E+04	3.32E+00	1.79	0
11.405	-10.3	195.5	82.82	8.11E+04	3.31E+00	1.8	0
11.432	-10.3	195.5	82.8	8.09E+04	3.31E+00	1.81	0
11.458	-10.3	195.5	82.79	8.08E+04	3.30E+00	1.82	0
11.485	-10.3	195.5	82.78	8.07E+04	3.30E+00	1.83	0
11.512	-10.3	195.5	82.76	8.06E+04	3.30E+00	1.84	0
11.538	-10.3	195.5	82.74	8.05E+04	3.29E+00	1.85	0
11.565	-10.3	195.5	82.71	8.04E+04	3.29E+00	1.86	0
11.592	-10.3	195.5	82.69	8.02E+04	3.29E+00	1.87	0
11.618	-10.3	195.5	82.66	8.01E+04	3.28E+00	1.88	0
11.645	-10.3	195.5	82.64	8.00E+04	3.28E+00	1.89	0
11.672	-10.3	195.5	82.59	7.99E+04	3.27E+00	1.89	0
11.698	-10.3	195.5	82.59	7.98E+04	3.27E+00	1.9	0
11.725	-10.3	195.5	82.57	7.97E+04	3.27E+00	1.91	0
11.752	-10.3	195.5	82.55	7.95E+04	3.26E+00	1.92	0
11.778	-10.3	195.5	82.53	7.94E+04	3.26E+00	1.93	0
11.805	-10.3	195.5	82.51	7.93E+04	3.25E+00	1.94	0
11.832	-10.3	195.5	82.51	7.92E+04	3.25E+00	1.95	0
11.859	-10.3	195.5	82.5	7.91E+04	3.24E+00	1.96	0
11.886	-10.3	195.5	82.49	7.90E+04	3.24E+00	1.97	0
11.913	-10.3	195.5	82.49	7.88E+04	3.23E+00	1.98	0
11.940	-10.3	195.5	82.48	7.87E+04	3.23E+00	1.98	0
11.966	-10.3	195.5	82.45	7.86E+04	3.23E+00	1.99	0
11.993	-10.3	195.5	82.43	7.85E+04	3.22E+00	2	0
12.020	-10.3	195.5	82.43	7.84E+04	3.22E+00	2.01	0
12.047	-10.3	195.5	82.42	7.82E+04	3.21E+00	2.02	0
12.074	-10.3	195.5	82.42	7.81E+04	3.21E+00	2.03	0
12.101	-10.3	195.5	82.42	7.80E+04	3.20E+00	2.04	0
12.159	-10.3	195.5	82.38	7.78E+04	3.20E+00	2.06	0
12.185	-10.3	195.5	82.36	7.76E+04	3.19E+00	2.07	0
12.212	-10.3	195.5	82.33	7.75E+04	3.19E+00	2.08	0
12.239	-10.3	195.5	82.29	7.74E+04	3.18E+00	2.08	0
12.266	-10.3	195.5	82.26	7.73E+04	3.18E+00	2.09	0
12.293	-10.3	195.5	82.24	7.72E+04	3.18E+00	2.1	0
12.320	-10.3	195.5	82.22	7.71E+04	3.17E+00	2.11	0
12.347	-10.3	195.5	82.23	7.70E+04	3.17E+00	2.12	0
12.374	-10.3	195.5	82.22	7.69E+04	3.16E+00	2.13	0
12.401	-10.3	195.5	82.2	7.67E+04	3.16E+00	2.14	0
12.428	-10.3	195.5	82.18	7.66E+04	3.16E+00	2.15	0
12.456	-10.3	195.5	82.16	7.65E+04	3.15E+00	2.16	0
12.483	-10.3	195.5	82.14	7.64E+04	3.15E+00	2.17	0
12.510	-10.3	195.5	82.11	7.63E+04	3.15E+00	2.17	0
12.538	-10.3	195.5	82.08	7.62E+04	3.14E+00	2.18	0
12.565	-10.3	195.5	82.03	7.61E+04	3.14E+00	2.19	0
12.593	-10.3	195.5	81.97	7.59E+04	3.14E+00	2.2	0
12.620	-10.3	195.5	81.94	7.58E+04	3.13E+00	2.21	0
12.679	-10.3	195.5	81.91	7.56E+04	3.12E+00	2.23	0
12.706	-10.3	195.5	81.88	7.55E+04	3.12E+00	2.24	0
12.733	-10.3	195.5	81.87	7.54E+04	3.12E+00	2.25	0
12.760	-10.3	195.5	81.84	7.52E+04	3.11E+00	2.26	0
12.788	-10.3	195.5	81.83	7.51E+04	3.11E+00	2.27	0
12.815	-10.3	195.5	81.8	7.50E+04	3.10E+00	2.28	0
12.842	-10.3	195.5	81.79	7.49E+04	3.10E+00	2.29	0
12.870	-10.3	195.5	81.77	7.48E+04	3.09E+00	2.3	0
12.897	-10.3	195.5	81.77	7.47E+04	3.09E+00	2.31	0
12.924	-10.3	195.5	81.76	7.46E+04	3.09E+00	2.31	0
12.952	-10.3	195.5	81.74	7.44E+04	3.08E+00	2.32	0
12.979	-10.3	195.5	81.71	7.43E+04	3.08E+00	2.33	0
13.007	-10.3	195.5	81.69	7.42E+04	3.08E+00	2.34	0
13.034	-10.3	195.5	81.67	7.41E+04	3.07E+00	2.35	0
13.062	-10.3	195.5	81.64	7.40E+04	3.07E+00	2.36	0
13.089	-10.3	195.5	81.63	7.39E+04	3.06E+00	2.37	0
13.117	-10.3	195.5	81.62	7.38E+04	3.06E+00	2.38	0
13.145	-10.3	195.5	81.6	7.37E+04	3.06E+00	2.27	0
13.172	-10.3	195.5	81.58	7.35E+04	3.05E+00	2.42	0
13.200	-10.3	195.5	81.56	7.34E+04	3.05E+00	2.26	0
13.228	-10.3	195.5	81.54	7.33E+04	3.04E+00	2.4	0
13.255	-10.3	195.5	81.52	7.32E+04	3.04E+00	2.01	0
13.283	-10.3	195.5	81.5	7.31E+04	3.04E+00	2.12	0
13.311	-10.3	195.5	81.49	7.30E+04	3.03E+00	2.06	0
13.339	-10.3	195.5	81.47	7.29E+04	3.03E+00	2.27	0
13.367	-10.3	195.5	81.44	7.27E+04	3.02E+00	2.36	0
13.394	-10.3	195.5	81.4	7.26E+04	3.02E+00	2.36	0
13.468	-10.3	195.5	81.36	7.23E+04	3.01E+00	2.7	0
13.509	-10.3	195.5	81.34	7.22E+04	3.00E+00	2.18	0
13.537	-10.3	195.5	81.32	7.21E+04	3.00E+00	2.36	0
13.564	-10.3	195.5	81.3	7.19E+04	2.99E+00	2.73	0
13.592	-10.3	195.5	81.3	7.18E+04	2.99E+00	2.47	0
13.620	-10.3	195.5	81.29	7.17E+04	2.99E+00	2.39	0
13.647	-10.3	195.5	81.27	7.16E+04	2.98E+00	2.51	0
13.675	-10.3	195.5	81.25	7.15E+04	2.98E+00	2.61	0
13.703	-10.3	195.5	81.23	7.14E+04	2.98E+00	2.55	0
13.731	-10.3	195.5	81.21	7.13E+04	2.97E+00	2.68	0
13.759	-10.3	195.5	81.18	7.12E+04	2.97E+00	2.47	0
13.788	-10.3	195.5	81.15	7.11E+04	2.96E+00	2.49	0
13.816	-10.3	195.5	81.12	7.09E+04	2.96E+00	2.5	0
13.844	-10.3	195.5	81.11	7.08E+04	2.96E+00	2.52	0
13.873	-10.3	195.5	81.1	7.07E+04	2.95E+00	2.54	0
13.901	-10.3	195.5	81.08	7.06E+04	2.95E+00	2.55	0
13.929	-10.3	195.5	81.06	7.05E+04	2.94E+00	2.57	0
13.990	-10.3	195.5	81.03	7.03E+04	2.93E+00	2.61	0
14.018	-10.3	195.5	81.02	7.02E+04	2.93E+00	2.62	0
14.046	-10.3	195.5	81.02	7.00E+04	2.93E+00	2.64	0
14.074	-10.3	195.5	81.02	6.99E+04	2.92E+00	2.66	0
14.103	-10.3	195.5	81	6.98E+04	2.92E+00	2.67	0
14.131	-10.3	195.5	80.99	6.97E+04	2.91E+00	2.69	0
14.159	-10.3	195.5	80.97	6.96E+04	2.91E+00	2.71	0
14.187	-10.3	195.5	80.94	6.95E+04	2.91E+00	2.72	0
14.216	-10.3	195.5	80.92	6.94E+04	2.90E+00	2.74	0
14.244	-10.3	195.5	80.88	6.93E+04	2.90E+00	2.98	0
14.272	-10.3	195.5	80.86	6.92E+04	2.90E+00	2.63	0
14.301	-10.3	195.5	80.83	6.91E+04	2.89E+00	2.5	0
14.329	-10.3	195.5	80.81	6.89E+04	2.89E+00	2.45	0
14.357	-10.3	195.5	80.79	6.88E+04	2.88E+00	2.73	0
14.386	-10.3	195.5	80.77	6.87E+04	2.88E+00	2.44	0
14.414	-10.3	195.5	80.74	6.86E+04	2.88E+00	2.39	0
14.443	-10.3	195.5	80.71	6.85E+04	2.87E+00	2.7	0
14.471	-10.3	195.5	80.69	6.84E+04	2.87E+00	2.71	0
14.499	-10.3	195.5	80.69	6.83E+04	2.86E+00	2.7	0
14.528	-10.3	195.5	80.68	6.82E+04	2.86E+00	2.52	0
14.556	-10.3	195.5	80.66	6.81E+04	2.86E+00	2.91	0
14.585	-10.3	195.5	80.64	6.80E+04	2.85E+00	3.01	0
14.613	-10.3	195.5	80.62	6.78E+04	2.85E+00	2.79	0
14.642	-10.3	195.5	80.61	6.77E+04	2.84E+00	2.69	0
14.670	-10.3	195.5	80.59	6.76E+04	2.84E+00	2.85	0
14.699	-10.3	195.5	80.57	6.75E+04	2.84E+00	2.95	0
14.727	-10.3	195.5	80.54	6.74E+04	2.83E+00	2.79	0
14.789	-10.3	195.5	80.48	6.72E+04	2.82E+00	2.74	0
14.817	-10.3	195.5	80.49	6.71E+04	2.82E+00	2.86	0
14.845	-10.3	195.5	80.47	6.70E+04	2.82E+00	2.85	0
14.874	-10.3	195.5	80.43	6.68E+04	2.81E+00	2.78	0
14.902	-10.3	195.5	80.41	6.67E+04	2.81E+00	2.78	0
14.931	-10.3	195.5	80.4	6.66E+04	2.81E+00	2.79	0
14.959	-10.3	195.5	80.38	6.65E+04	2.80E+00	2.79	0
14.988	-10.3	195.5	80.35	6.64E+04	2.80E+00	2.79	0
15.017	-10.3	195.5	80.32	6.63E+04	2.80E+00	2.8	0
15.046	-10.3	195.5	80.31	6.62E+04	2.79E+00	2.8	0
15.075	-10.3	195.5	80.26	6.61E+04	2.79E+00	2.8	0
15.104	-10.3	195.5	80.23	6.60E+04	2.79E+00	2.81	0
15.133	-10.3	195.5	80.22	6.59E+04	2.78E+00	2.81	0
15.162	-10.3	195.5	80.19	6.58E+04	2.78E+00	2.81	0
15.191	-10.3	195.5	80.18	6.57E+04	2.77E+00	2.81	0
15.221	-10.3	195.5	80.18	6.55E+04	2.77E+00	2.82	0
15.250	-10.3	195.5	80.16	6.54E+04	2.77E+00	2.82	0
15.279	-10.3	195.5	80.13	6.53E+04	2.76E+00	2.82	0
15.342	-10.3	195.5	80.08	6.51E+04	2.75E+00	2.83	0
15.371	-10.3	195.5	80.06	6.50E+04	2.75E+00	3.11	0
15.400	-10.3	195.5	80.05	6.49E+04	2.74E+00	3.04	0
15.430	-10.3	195.5	80.04	6.48E+04	2.74E+00	3.13	0
15.459	-10.3	195.5	80.02	6.47E+04	2.74E+00	2.94	0
15.488	-10.3	195.5	80	6.46E+04	2.73E+00	2.71	0
15.517	-10.3	195.5	79.99	6.45E+04	2.73E+00	2.64	0
15.546	-10.3	195.5	79.97	6.44E+04	2.73E+00	2.62	0
15.575	-10.3	195.5	79.92	6.42E+04	2.72E+00	2.81	0
15.605	-10.3	195.5	79.92	6.41E+04	2.72E+00	3.02	0
15.634	-10.3	195.5	79.89	6.40E+04	2.71E+00	3.05	0
15.663	-10.3	195.5	79.87	6.39E+04	2.71E+00	2.96	0
15.692	-10.3	195.5	79.84	6.38E+04	2.71E+00	3.1	0
15.722	-10.3	195.5	79.82	6.37E+04	2.70E+00	3.15	0
15.751	-10.3	195.5	79.8	6.36E+04	2.70E+00	3.04	0
15.780	-10.3	195.5	79.77	6.35E+04	2.70E+00	3.11	0
15.810	-10.3	195.5	79.76	6.34E+04	2.69E+00	3.3	0
15.839	-10.3	195.5	79.74	6.33E+04	2.69E+00	3.13	0
15.868	-10.3	195.5	79.74	6.32E+04	2.68E+00	3.27	0
15.898	-10.3	195.5	79.72	6.31E+04	2.68E+00	3.19	0
15.927	-10.3	195.5	79.71	6.30E+04	2.67E+00	3.13	0
15.956	-10.3	195.5	79.69	6.29E+04	2.67E+00	3.3	0
15.986	-10.3	195.5	79.68	6.28E+04	2.67E+00	3.48	0
16.015	-10.3	195.5	79.67	6.26E+04	2.66E+00	3.31	0
16.044	-10.3	195.5	79.67	6.25E+04	2.66E+00	3.28	0
16.074	-10.3	195.5	79.64	6.24E+04	2.65E+00	3.26	0
16.103	-10.3	195.5	79.62	6.23E+04	2.65E+00	3.23	0
16.167	-10.3	195.5	79.59	6.21E+04	2.64E+00	3.18	0
16.197	-10.3	195.5	79.57	6.20E+04	2.64E+00	3.16	0
16.227	-10.3	195.5	79.55	6.19E+04	2.64E+00	3.13	0
16.256	-10.3	195.5	79.52	6.18E+04	2.63E+00	3.11	0
16.286	-10.3	195.5	79.5	6.17E+04	2.63E+00	3.09	0
16.316	-10.3	195.5	79.48	6.16E+04	2.62E+00	3.06	0
16.346	-10.3	195.5	79.47	6.15E+04	2.62E+00	3.04	0
16.375	-10.3	195.5	79.45	6.14E+04	2.62E+00	3.02	0
16.405	-10.3	195.5	79.43	6.13E+04	2.61E+00	2.99	0
16.435	-10.3	195.5	79.41	6.12E+04	2.61E+00	2.97	0
16.465	-10.3	195.5	79.4	6.10E+04	2.60E+00	2.94	0
16.495	-10.3	195.5	79.38	6.09E+04	2.60E+00	2.92	0
16.525	-10.3	195.5	79.34	6.08E+04	2.60E+00	2.89	0
16.555	-10.3	195.5	79.32	6.07E+04	2.59E+00	3.07	0
16.585	-10.3	195.5	79.3	6.06E+04	2.59E+00	3.31	0
16.615	-10.3	195.5	79.28	6.05E+04	2.59E+00	3.07	0
16.645	-10.3	195.5	79.24	6.04E+04	2.58E+00	3.3	0
16.675	-10.3	195.5	79.22	6.03E+04	2.58E+00	3.04	0
16.740	-10.3	195.5	79.19	6.01E+04	2.57E+00	2.97	0
16.770	-10.3	195.5	79.16	6.00E+04	2.57E+00	3.22	0
16.800	-10.3	195.5	79.14	5.99E+04	2.56E+00	3.12	0
16.830	-10.3	195.5	79.12	5.98E+04	2.56E+00	3.23	0
16.860	-10.3	195.5	79.1	5.97E+04	2.56E+00	3.4	0
16.890	-10.3	195.5	79.08	5.96E+04	2.55E+00	3.25	0
16.920	-10.3	195.5	79.06	5.95E+04	2.55E+00	3.74	0
16.950	-10.3	195.5	79.04	5.94E+04	2.54E+00	3.25	0
16.980	-10.3	195.5	79.01	5.93E+04	2.54E+00	3.55	0
17.010	-10.3	195.5	79.01	5.92E+04	2.54E+00	3.38	0
17.041	-10.3	195.5	78.99	5.91E+04	2.53E+00	3.68	0
17.071	-10.3	195.5	78.99	5.90E+04	2.53E+00	3.42	0
17.102	-10.3	195.5	78.98	5.89E+04	2.52E+00	3.65	0
17.132	-10.3	195.5	78.96	5.88E+04	2.52E+00	3.51	0
17.162	-10.3	195.5	78.96	5.87E+04	2.52E+00	3.38	0
17.193	-10.3	195.5	78.93	5.86E+04	2.51E+00	3.23	0
17.223	-10.3	195.5	78.91	5.84E+04	2.51E+00	3.26	0
17.254	-10.3	195.5	78.89	5.83E+04	2.51E+00	3.3	0
17.284	-10.3	195.5	78.87	5.82E+04	2.50E+00	3.33	0
17.314	-10.3	195.5	78.84	5.81E+04	2.50E+00	3.37	0
17.345	-10.3	195.5	78.83	5.80E+04	2.49E+00	3.4	0
17.375	-10.3	195.5	78.81	5.79E+04	2.49E+00	3.44	0
17.405	-10.3	195.5	78.8	5.78E+04	2.49E+00	3.47	0
17.435	-10.3	195.5	78.78	5.77E+04	2.48E+00	3.51	0
17.466	-10.3	195.5	78.76	5.76E+04	2.48E+00	3.54	0
17.496	-10.3	195.5	78.75	5.75E+04	2.47E+00	3.58	0
17.526	-10.3	195.5	78.72	5.74E+04	2.47E+00	3.61	0
17.594	-10.3	195.5	78.67	5.72E+04	2.46E+00	3.69	0
17.624	-10.3	195.5	78.65	5.71E+04	2.46E+00	3.73	0
17.655	-10.3	195.5	78.63	5.70E+04	2.46E+00	3.77	0
17.686	-10.3	195.5	78.6	5.69E+04	2.45E+00	3.8	0
17.717	-10.3	195.5	78.57	5.68E+04	2.45E+00	3.58	0
17.748	-10.3	195.5	78.56	5.67E+04	2.45E+00	3.77	0
17.778	-10.3	195.5	78.54	5.66E+04	2.44E+00	3.61	0
17.809	-10.3	195.5	78.51	5.65E+04	2.44E+00	3.76	0
17.840	-10.3	195.5	78.5	5.64E+04	2.43E+00	3.58	0
17.871	-10.3	195.5	78.48	5.63E+04	2.43E+00	3.95	0
17.902	-10.3	195.5	78.45	5.62E+04	2.43E+00	4	0
17.933	-10.3	195.5	78.44	5.61E+04	2.42E+00	3.93	0
17.964	-10.3	195.5	78.42	5.60E+04	2.42E+00	3.69	0
17.995	-10.3	195.5	78.41	5.59E+04	2.41E+00	4.03	0
18.026	-10.3	195.5	78.39	5.58E+04	2.41E+00	3.86	0
18.057	-10.3	195.5	78.37	5.57E+04	2.41E+00	3.73	0
18.088	-10.3	195.5	78.36	5.56E+04	2.40E+00	3.73	0
18.119	-10.3	195.5	78.31	5.55E+04	2.40E+00	3.89	0
18.186	-10.3	195.5	78.26	5.53E+04	2.39E+00	3.76	0
18.217	-10.3	195.5	78.25	5.52E+04	2.39E+00	3.83	0
18.248	-10.3	195.5	78.22	5.51E+04	2.39E+00	4.1	0
18.279	-10.3	195.5	78.2	5.50E+04	2.38E+00	4.19	0
18.310	-10.3	195.5	78.18	5.49E+04	2.38E+00	4.19	0
18.341	-10.3	195.5	78.17	5.48E+04	2.38E+00	4.19	0
18.372	-10.3	195.5	78.14	5.47E+04	2.37E+00	4.07	0
18.404	-10.3	195.5	78.1	5.46E+04	2.37E+00	3.98	0
18.435	-10.3	195.5	78.08	5.45E+04	2.36E+00	3.95	0
18.466	-10.3	195.5	78.06	5.44E+04	2.36E+00	3.93	0
18.498	-10.3	195.5	78.04	5.43E+04	2.36E+00	3.9	0
18.529	-10.3	195.5	78.03	5.42E+04	2.35E+00	3.87	0
18.561	-10.3	195.5	78.01	5.41E+04	2.35E+00	3.85	0
18.592	-10.3	195.5	77.98	5.40E+04	2.35E+00	3.82	0
18.624	-10.3	195.5	77.96	5.39E+04	2.34E+00	3.79	0
18.655	-10.3	195.5	77.95	5.38E+04	2.34E+00	3.76	0
18.687	-10.3	195.5	77.92	5.37E+04	2.34E+00	3.74	0
18.719	-10.3	195.5	77.89	5.36E+04	2.33E+00	3.71	0
18.750	-10.3	195.5	77.87	5.35E+04	2.33E+00	3.68	0
18.781	-10.3	195.5	77.84	5.34E+04	2.32E+00	3.65	0
18.813	-10.3	195.5	77.81	5.33E+04	2.32E+00	3.63	0
18.844	-10.3	195.5	77.79	5.32E+04	2.32E+00	3.6	0
18.875	-10.3	195.5	77.76	5.31E+04	2.31E+00	3.57	0
18.907	-10.3	195.5	77.75	5.30E+04	2.31E+00	3.55	0
18.938	-10.3	195.5	77.74	5.29E+04	2.30E+00	3.52	0
18.969	-10.3	195.5	77.75	5.28E+04	2.30E+00	3.58	0
19.001	-10.3	195.5	77.74	5.27E+04	2.30E+00	3.37	0
19.071	-10.3	195.5	77.67	5.25E+04	2.29E+00	3.55	0
19.103	-10.3	195.5	77.64	5.24E+04	2.29E+00	3.82	0
19.135	-10.3	195.5	77.61	5.23E+04	2.28E+00	3.46	0
19.167	-10.3	195.5	77.59	5.22E+04	2.28E+00	3.56	0
19.199	-10.3	195.5	77.56	5.21E+04	2.28E+00	3.61	0
19.231	-10.3	195.5	77.54	5.20E+04	2.27E+00	3.88	0
19.263	-10.3	195.5	77.53	5.19E+04	2.27E+00	3.77	0
19.295	-10.3	195.5	77.52	5.18E+04	2.26E+00	3.67	0
19.327	-10.3	195.5	77.52	5.17E+04	2.26E+00	3.6	0
19.359	-10.3	195.5	77.47	5.16E+04	2.26E+00	3.62	0
19.391	-10.3	195.5	77.46	5.15E+04	2.25E+00	3.43	0
19.423	-10.3	195.5	77.45	5.14E+04	2.25E+00	3.54	0
19.455	-10.3	195.5	77.44	5.14E+04	2.24E+00	3.69	0
19.487	-10.3	195.5	77.42	5.13E+04	2.24E+00	3.51	0
19.519	-10.3	195.5	77.42	5.12E+04	2.24E+00	3.92	0
19.551	-10.3	195.5	77.41	5.11E+04	2.23E+00	3.76	0
19.584	-10.3	195.5	77.39	5.10E+04	2.23E+00	3.34	0
19.616	-10.3	195.5	77.36	5.09E+04	2.23E+00	3.76	0
19.685	-10.3	195.5	77.34	5.07E+04	2.22E+00	3.36	0
19.717	-10.3	195.5	77.33	5.06E+04	2.21E+00	3.4	0
19.749	-10.3	195.5	77.3	5.05E+04	2.21E+00	3.45	0
19.782	-10.3	195.5	77.28	5.04E+04	2.21E+00	3.49	0
19.814	-10.3	195.5	77.26	5.03E+04	2.20E+00	3.53	0
19.846	-10.3	195.5	77.24	5.02E+04	2.20E+00	3.58	0
19.879	-10.3	195.5	77.22	5.01E+04	2.20E+00	3.62	0
19.911	-10.3	195.5	77.2	5.00E+04	2.19E+00	3.66	0
19.944	-10.3	195.5	77.19	4.99E+04	2.19E+00	3.7	0
19.976	-10.3	195.5	77.18	4.98E+04	2.18E+00	3.75	0
20.009	-10.3	195.5	77.18	4.97E+04	2.18E+00	3.79	0
20.042	-10.3	195.5	77.16	4.96E+04	2.18E+00	3.84	0
20.074	-10.3	195.5	77.15	4.95E+04	2.17E+00	3.88	0
20.107	-10.3	195.5	77.14	4.94E+04	2.17E+00	3.92	0
20.140	-10.3	195.5	77.14	4.93E+04	2.16E+00	3.96	0
20.173	-10.3	195.5	77.11	4.92E+04	2.16E+00	4.01	0
20.206	-10.3	195.5	77.09	4.91E+04	2.16E+00	4.05	0
